initial  value 4.554392 
iter 128 value 1.865309
iter 129 value 1.865308
iter 130 value 1.865308
iter 131 value 1.865308
iter 132 value 1.865308
iter 133 value 1.865308
iter 134 value 1.865308
iter 135 value 1.865308
iter 136 value 1.865308
iter 136 value 1.865308
iter 136 value 1.865308
final  value 1.865308 
converged
Used 138 function and 136 gradient evaluations
initial  value 3.276181 
iter   2 value 2.093475
iter   3 value 2.031904
iter   4 value 2.002162
iter   5 value 1.949220
iter   6 value 1.939865
iter   7 value 1.932434
iter   8 value 1.925946
iter   9 value 1.919998
iter  10 value 1.915096
iter  11 value 1.911041
iter  12 value 1.907320
iter  13 value 1.903655
iter  14 value 1.900673
iter  15 value 1.898214
iter  16 value 1.895293
iter  17 value 1.891181
iter  18 value 1.885684
iter  19 value 1.881234
iter  20 value 1.879221
iter  21 value 1.877870
iter  22 value 1.876971
iter  23 value 1.876221
iter  24 value 1.875476
iter  25 value 1.874793
iter  26 value 1.874066
iter  27 value 1.873449
iter  28 value 1.873066
iter  29 value 1.872807
iter  30 value 1.872499
iter  31 value 1.872064
iter  32 value 1.871645
iter  33 value 1.871420
iter  34 value 1.871324
iter  35 value 1.871226
iter  36 value 1.871045
iter  37 value 1.870791
iter  38 value 1.870537
iter  39 value 1.870349
iter  40 value 1.870193
iter  41 value 1.870020
iter  42 value 1.869845
iter  43 value 1.869720
iter  44 value 1.869628
iter  45 value 1.869504
iter  46 value 1.869289
iter  47 value 1.868995
iter  48 value 1.868745
iter  49 value 1.868617
iter  50 value 1.868544
iter  51 value 1.868439
iter  52 value 1.868256
iter  53 value 1.868034
iter  54 value 1.867873
iter  55 value 1.867783
iter  56 value 1.867695
iter  57 value 1.867562
iter  58 value 1.867401
iter  59 value 1.867272
iter  60 value 1.867188
iter  61 value 1.867102
iter  62 value 1.866969
iter  63 value 1.866807
iter  64 value 1.866694
iter  65 value 1.866649
iter  66 value 1.866620
iter  67 value 1.866563
iter  68 value 1.866453
iter  69 value 1.866287
iter  70 value 1.866143
iter  71 value 1.866075
iter  72 value 1.866050
iter  73 value 1.866025
iter  74 value 1.865977
iter  75 value 1.865915
iter  76 value 1.865859
iter  77 value 1.865820
iter  78 value 1.865781
iter  79 value 1.865725
iter  80 value 1.865656
iter  81 value 1.865608
iter  82 value 1.865588
iter  83 value 1.865578
iter  84 value 1.865563
iter  85 value 1.865532
iter  86 value 1.865486
iter  87 value 1.865451
iter  88 value 1.865433
iter  89 value 1.865423
iter  90 value 1.865409
iter  91 value 1.865390
iter  92 value 1.865375
iter  93 value 1.865368
iter  94 value 1.865365
iter  95 value 1.865363
iter  96 value 1.865352
iter  97 value 1.865350
iter  98 value 1.865348
iter  99 value 1.865346
iter 100 value 1.865342
iter 101 value 1.865338
iter 102 value 1.865335
iter 103 value 1.865333
iter 104 value 1.865332
iter 105 value 1.865330
iter 106 value 1.865328
iter 107 value 1.865325
iter 108 value 1.865323
iter 109 value 1.865322
iter 110 value 1.865320
iter 111 value 1.865319
iter 112 value 1.865317
iter 113 value 1.865317
iter 114 value 1.865316
iter 115 value 1.865315
iter 116 value 1.865314
iter 117 value 1.865313
iter 118 value 1.865312
iter 119 value 1.865311
iter 120 value 1.865311
iter 121 value 1.865310
iter 122 value 1.865310
iter 123 value 1.865310
iter 124 value 1.865310
iter 125 value 1.865310
iter 126 value 1.865309
iter 127 value 1.865309
iter 128 value 1.865309
iter 129 value 1.865309
iter 130 value 1.865309
iter 131 value 1.865309
iter 132 value 1.865309
iter 133 value 1.865308
iter 134 value 1.865308
iter 135 value 1.865308
iter 136 value 1.865308
iter 137 value 1.865308
iter 138 value 1.865308
iter 139 value 1.865308
iter 139 value 1.865308
iter 139 value 1.865308
final  value 1.865308 
converged
Used 141 function and 139 gradient evaluations
initial  value 3.400869 
iter   2 value 2.132436
iter   3 value 2.080081
iter   4 value 1.969949
iter   5 value 1.957530
iter   6 value 1.949241
iter   7 value 1.937626
iter   8 value 1.929540
iter   9 value 1.923826
iter  10 value 1.919255
iter  11 value 1.914967
iter  12 value 1.911001
iter  13 value 1.907359
iter  14 value 1.904289
iter  15 value 1.901155
iter  16 value 1.897408
iter  17 value 1.892926
iter  18 value 1.888345
iter  19 value 1.884631
iter  20 value 1.881711
iter  21 value 1.879796
iter  22 value 1.878986
iter  23 value 1.878347
iter  24 value 1.877356
iter  25 value 1.875888
iter  26 value 1.874102
iter  27 value 1.872895
iter  28 value 1.872433
iter  29 value 1.872227
iter  30 value 1.871994
iter  31 value 1.871682
iter  32 value 1.871425
iter  33 value 1.871285
iter  34 value 1.871184
iter  35 value 1.871029
iter  36 value 1.870813
iter  37 value 1.870616
iter  38 value 1.870504
iter  39 value 1.870433
iter  40 value 1.870335
iter  41 value 1.870167
iter  42 value 1.869963
iter  43 value 1.869813
iter  44 value 1.869726
iter  45 value 1.869645
iter  46 value 1.869513
iter  47 value 1.869327
iter  48 value 1.869139
iter  49 value 1.869001
iter  50 value 1.868885
iter  51 value 1.868738
iter  52 value 1.868552
iter  53 value 1.868395
iter  54 value 1.868298
iter  55 value 1.868212
iter  56 value 1.868079
iter  57 value 1.867866
iter  58 value 1.867624
iter  59 value 1.867447
iter  60 value 1.867340
iter  61 value 1.867241
iter  62 value 1.867117
iter  63 value 1.867003
iter  64 value 1.866930
iter  65 value 1.866876
iter  66 value 1.866796
iter  67 value 1.866658
iter  68 value 1.866478
iter  69 value 1.866342
iter  70 value 1.866280
iter  71 value 1.866249
iter  72 value 1.866201
iter  73 value 1.866123
iter  74 value 1.866033
iter  75 value 1.865975
iter  76 value 1.865946
iter  77 value 1.865919
iter  78 value 1.865866
iter  79 value 1.865778
iter  80 value 1.865683
iter  81 value 1.865630
iter  82 value 1.865612
iter  83 value 1.865601
iter  84 value 1.865583
iter  85 value 1.865543
iter  86 value 1.865512
iter  87 value 1.865492
iter  88 value 1.865478
iter  89 value 1.865459
iter  90 value 1.865432
iter  91 value 1.865407
iter  92 value 1.865394
iter  93 value 1.865388
iter  94 value 1.865381
iter  95 value 1.865379
iter  96 value 1.865364
iter  97 value 1.865362
iter  98 value 1.865359
iter  99 value 1.865357
iter 100 value 1.865352
iter 101 value 1.865348
iter 102 value 1.865345
iter 103 value 1.865343
iter 104 value 1.865341
iter 105 value 1.865337
iter 106 value 1.865334
iter 107 value 1.865331
iter 108 value 1.865329
iter 109 value 1.865327
iter 110 value 1.865325
iter 111 value 1.865323
iter 112 value 1.865321
iter 113 value 1.865320
iter 114 value 1.865318
iter 115 value 1.865317
iter 116 value 1.865316
iter 117 value 1.865315
iter 118 value 1.865314
iter 119 value 1.865314
iter 120 value 1.865313
iter 121 value 1.865312
iter 122 value 1.865312
iter 123 value 1.865312
iter 124 value 1.865311
iter 125 value 1.865311
iter 126 value 1.865310
iter 127 value 1.865310
iter 128 value 1.865310
iter 129 value 1.865310
iter 130 value 1.865309
iter 131 value 1.865309
iter 132 value 1.865309
iter 133 value 1.865309
iter 134 value 1.865309
iter 135 value 1.865309
iter 136 value 1.865309
iter 137 value 1.865309
iter 138 value 1.865308
iter 139 value 1.865308
iter 140 value 1.865308
iter 141 value 1.865308
iter 142 value 1.865308
iter 143 value 1.865308
iter 144 value 1.865308
iter 145 value 1.865308
iter 146 value 1.865308
iter 147 value 1.865308
iter 148 value 1.865308
iter 149 value 1.865308
iter 149 value 1.865308
iter 149 value 1.865308
final  value 1.865308 
converged
Used 151 function and 149 gradient evaluations
initial  value 3.889917 
iter   2 value 2.371288
iter   3 value 2.280779
iter   4 value 2.123516
iter   5 value 2.039871
iter   6 value 1.987626
iter   7 value 1.968652
iter   8 value 1.953901
iter   9 value 1.946010
iter  10 value 1.931497
iter  11 value 1.927540
iter  12 value 1.924726
iter  13 value 1.921916
iter  14 value 1.916892
iter  15 value 1.911305
iter  16 value 1.906130
iter  17 value 1.902121
iter  18 value 1.898950
iter  19 value 1.896502
iter  20 value 1.894244
iter  21 value 1.891964
iter  22 value 1.889332
iter  23 value 1.886472
iter  24 value 1.884103
iter  25 value 1.882749
iter  26 value 1.882008
iter  27 value 1.881014
iter  28 value 1.879635
iter  29 value 1.878290
iter  30 value 1.877225
iter  31 value 1.876229
iter  32 value 1.875020
iter  33 value 1.873890
iter  34 value 1.873258
iter  35 value 1.872984
iter  36 value 1.872761
iter  37 value 1.872404
iter  38 value 1.872022
iter  39 value 1.871756
iter  40 value 1.871590
iter  41 value 1.871401
iter  42 value 1.871133
iter  43 value 1.870868
iter  44 value 1.870725
iter  45 value 1.870659
iter  46 value 1.870596
iter  47 value 1.870475
iter  48 value 1.870290
iter  49 value 1.870131
iter  50 value 1.870049
iter  51 value 1.870000
iter  52 value 1.869930
iter  53 value 1.869825
iter  54 value 1.869710
iter  55 value 1.869625
iter  56 value 1.869560
iter  57 value 1.869475
iter  58 value 1.869331
iter  59 value 1.869144
iter  60 value 1.868989
iter  61 value 1.868889
iter  62 value 1.868783
iter  63 value 1.868601
iter  64 value 1.868320
iter  65 value 1.868032
iter  66 value 1.867852
iter  67 value 1.867761
iter  68 value 1.867665
iter  69 value 1.867464
iter  70 value 1.867142
iter  71 value 1.866821
iter  72 value 1.866647
iter  73 value 1.866558
iter  74 value 1.866497
iter  75 value 1.866415
iter  76 value 1.866325
iter  77 value 1.866261
iter  78 value 1.866219
iter  79 value 1.866172
iter  80 value 1.866088
iter  81 value 1.865982
iter  82 value 1.865897
iter  83 value 1.865853
iter  84 value 1.865830
iter  85 value 1.865799
iter  86 value 1.865744
iter  87 value 1.865681
iter  88 value 1.865642
iter  89 value 1.865626
iter  90 value 1.865615
iter  91 value 1.865594
iter  92 value 1.865559
iter  93 value 1.865516
iter  94 value 1.865484
iter  95 value 1.865476
iter  96 value 1.865437
iter  97 value 1.865435
iter  98 value 1.865418
iter  99 value 1.865410
iter 100 value 1.865400
iter 101 value 1.865396
iter 102 value 1.865391
iter 103 value 1.865385
iter 104 value 1.865376
iter 105 value 1.865369
iter 106 value 1.865363
iter 107 value 1.865358
iter 108 value 1.865352
iter 109 value 1.865345
iter 110 value 1.865341
iter 111 value 1.865338
iter 112 value 1.865336
iter 113 value 1.865334
iter 114 value 1.865331
iter 115 value 1.865329
iter 116 value 1.865327
iter 117 value 1.865324
iter 118 value 1.865322
iter 119 value 1.865321
iter 120 value 1.865320
iter 121 value 1.865318
iter 122 value 1.865317
iter 123 value 1.865316
iter 124 value 1.865315
